FID,Person Key,Crash Key,FDOT Crash Number,FLHSMV Crash Number,Crash Date,Crash Time,Crash Time Slot,Crash Day,FDOT Managing District,FDOT County Code,County,FDOT Roadway ID,FDOT Mile Post,Road System,SSO Latitude,SSO Longitude,CITY,Person Type Code,Person Type,Person Gender Code,Person Gender,Person Age,Person Injury Code,Person Injury,Person Location Code,Person Location at Crash Time,Person Action Code,Person Action Prior to Crash,Person Action/Circumstance Code,Person Action/Circumstance,Suspected Alcohol Code,Suspected Alcohol Use,Suspected Drug Code,Suspected Drug Use,x,y
161,2016-836892160-3,2016-836892160,836892160,83689216,7/21/2016 22:17,10:17 PM,8: 9P-12A,4: Wed,5,75,Orange,75190001,39.542,On-system,28.5461496,-81.4136983,Jacksonville,1,Pedestrian,1,Male,0,4,Serious (Incapacitating),77,Other,1,Crossing roadway,9,"Not visible (dark clothing, no lighting, etc)",88,Unknown,88,Unknown,-9062931.786,3318007.572
162,2016-836892330-1,2016-836892330,836892330,83689233,8/8/2016 21:16,9:16 PM,8: 9P-12A,1: Sun,5,75,Orange,75000000,0,Off-system,28.472306,-81.422852,Jacksonville,1,Pedestrian,1,Male,21,4,Serious (Incapacitating),2,Intersection (unmarked crosswalk),1,Crossing roadway,3,Failure to yield right-of-way,1,No,1,No,-9063950.771,3308653.004
163,2016-836892400-2,2016-836892400,836892400,83689240,8/12/2016 7:25,7:25 AM,3: 6A-9A,5: Thr,5,75,Orange,75000000,0,Off-system,28.598365,-81.299011,Jacksonville,3,Bicyclist,1,Male,45,4,Serious (Incapacitating),8,Sidewalk,77,Other,9,"Not visible (dark clothing, no lighting, etc)",1,No,1,No,-9050164.85,3324626.22
164,2016-837162580-2,2016-837162580,837162580,83716258,5/9/2016 22:30,10:30 PM,8: 9P-12A,1: Sun,4,94,St Lucie,94000000,0,Off-system,27.312402,-80.371625,Jacksonville,3,Bicyclist,1,Male,50,5,Fatal,5,Travel lane (other location),5,Walking/cycling on sidewalk,5,"In roadway improperly (standing, lying, working, playing)",2,Yes,2,Yes,-8946928.678,3162557.397
165,2016-837184020-3,2016-837184020,837184020,83718402,5/9/2016 15:02,3:02 PM,6: 3P-6P,1: Sun,1,1,Charlotte,1000000,0,Off-system,27.016215,-82.109117,Jacksonville,1,Pedestrian,1,Male,31,4,Serious (Incapacitating),5,Travel lane (other location),88,Unknown,88,Unknown,1,No,2,Yes,-9140345.458,3125498.364
166,2016-837188990-2,2016-837188990,837188990,83718899,4/25/2016 10:36,10:36 AM,4: 9A-12P,1: Sun,2,78,St Johns,78051000,14.427,On-system,29.8457408,-81.362177,Jacksonville,4,Other cyclist,1,Male,45,4,Serious (Incapacitating),6,Bicycle lane,10,None,1,No improper action,1,No,1,No,-9057196.464,3483737.358
167,2016-837321490-2,2016-837321490,837321490,83732149,7/31/2016 5:01,5:01 AM,2: 3A-6A,7: Sat,4,93,Palm Beach,93220000,39.641,On-system,26.8742651,-80.1229886,Jacksonville,1,Pedestrian,1,Male,40,5,Fatal,5,Travel lane (other location),1,Crossing roadway,2,Dart/dash,1,No,1,No,-8919250.591,3107772.218
168,2016-837755050-1,2016-837755050,837755050,83775505,8/22/2016 3:00,3:00 AM,2: 3A-6A,1: Sun,4,94,St Lucie,94001000,25.171,On-system,27.5340837,-80.4605635,Jacksonville,1,Pedestrian,2,Female,19,5,Fatal,5,Travel lane (other location),3,Walking/cycling along roadway with traffic (in/adjacent to travel lane),5,"In roadway improperly (standing, lying, working, playing)",88,Unknown,88,Unknown,-8956829.27,3190359.029
169,2016-838153470-2,2016-838153470,838153470,83815347,10/3/2016 20:35,8:35 PM,7: 6P-9P,1: Sun,4,89,Martin,89090000,14.148,On-system,27.1724352,-80.2645516,Jacksonville,1,Pedestrian,1,Male,42,4,Serious (Incapacitating),5,Travel lane (other location),6,"In roadway, other (working, playing, etc)",5,"In roadway improperly (standing, lying, working, playing)",2,Yes,2,Yes,-8935009.318,3145032.446
170,2016-838153470-3,2016-838153470,838153470,83815347,10/3/2016 20:35,8:35 PM,7: 6P-9P,1: Sun,4,89,Martin,89090000,14.148,On-system,27.1724352,-80.2645516,Jacksonville,1,Pedestrian,2,Female,33,4,Serious (Incapacitating),5,Travel lane (other location),6,"In roadway, other (working, playing, etc)",5,"In roadway improperly (standing, lying, working, playing)",2,Yes,2,Yes,-8935009.318,3145032.446
171,2016-838178970-1,2016-838178970,838178970,83817897,1/1/2016 21:00,9:00 PM,8: 9P-12A,5: Thr,4,88,Indian River,88000000,0,Off-system,27.60075,-80.405887,Jacksonville,1,Pedestrian,1,Male,55,5,Fatal,5,Travel lane (other location),3,Walking/cycling along roadway with traffic (in/adjacent to travel lane),5,"In roadway improperly (standing, lying, working, playing)",2,Yes,2,Yes,-8950742.709,3198730.759
172,2016-838184930-1,2016-838184930,838184930,83818493,7/18/2016 22:00,10:00 PM,8: 9P-12A,1: Sun,4,94,St Lucie,94030000,5.308,On-system,27.359819,-80.6257807,Jacksonville,1,Pedestrian,1,Male,45,5,Fatal,7,Shoulder/roadside,3,Walking/cycling along roadway with traffic (in/adjacent to travel lane),5,"In roadway improperly (standing, lying, working, playing)",1,No,1,No,-8975221.17,3168499.388
173,2016-838184970-1,2016-838184970,838184970,83818497,9/2/2016 21:32,9:32 PM,8: 9P-12A,5: Thr,4,89,Martin,89070000,15.478,On-system,27.0260668,-80.4750087,Jacksonville,3,Bicyclist,1,Male,50,5,Fatal,1,Intersection (marked crosswalk),1,Crossing roadway,3,Failure to yield right-of-way,88,Unknown,88,Unknown,-8958437.301,3126729.453
174,2016-838207360-2,2016-838207360,838207360,83820736,6/20/2016 9:50,9:50 AM,4: 9A-12P,1: Sun,5,36,Marion,36000000,0,Off-system,29.410417,-82.22484,Jacksonville,3,Bicyclist,1,Male,48,4,Serious (Incapacitating),5,Travel lane (other location),3,Walking/cycling along roadway with traffic (in/adjacent to travel lane),1,No improper action,1,No,1,No,-9153227.696,3427988.059
175,2016-838287370-2,2016-838287370,838287370,83828737,10/12/2016 23:25,11:25 PM,8: 9P-12A,3: Tue,5,36,Marion,36210000,18.721,On-system,29.2193321,-82.1843313,Jacksonville,1,Pedestrian,1,Male,22,5,Fatal,5,Travel lane (other location),1,Crossing roadway,77,Other,1,No,2,Yes,-9148718.286,3403592.524
176,2016-838356870-1,2016-838356870,838356870,83835687,2/1/2016 6:07,6:07 AM,3: 6A-9A,1: Sun,3,46,Bay,46000000,0,Off-system,30.233269,-85.607782,Jacksonville,1,Pedestrian,1,Male,61,4,Serious (Incapacitating),5,Travel lane (other location),6,"In roadway, other (working, playing, etc)",5,"In roadway improperly (standing, lying, working, playing)",1,No,1,No,-9529815.188,3533570.501
177,2016-838379150-2,2016-838379150,838379150,83837915,5/1/2016 0:01,12:01 AM,1: 12A-3A,7: Sat,1,1,Charlotte,1050000,16.649,On-system,27.0081372,-82.1596865,Jacksonville,3,Bicyclist,1,Male,52,5,Fatal,5,Travel lane (other location),3,Walking/cycling along roadway with traffic (in/adjacent to travel lane),9,"Not visible (dark clothing, no lighting, etc)",2,Yes,1,No,-9145974.831,3124489.04
178,2016-838381730-1,2016-838381730,838381730,83838173,8/25/2016 0:34,12:34 AM,1: 12A-3A,4: Wed,1,3,Collier,3175000,9.165,On-system,26.1696472,-81.0260197,Jacksonville,2,"Other pedestrian (wheelchair, etc)",1,Male,25,4,Serious (Incapacitating),5,Travel lane (other location),77,Other,3,Failure to yield right-of-way,2,Yes,88,Unknown,-9019775.581,3020108.284
179,2016-838507410-1,2016-838507410,838507410,83850741,1/30/2016 21:43,9:43 PM,8: 9P-12A,6: Fri,5,79,Volusia,79190000,12.393,On-system,29.2559712,-81.0728053,Jacksonville,1,Pedestrian,1,Male,42,4,Serious (Incapacitating),5,Travel lane (other location),1,Crossing roadway,2,Dart/dash,2,Yes,1,No,-9024983.742,3408266.653
180,2016-838596210-2,2016-838596210,838596210,83859621,8/29/2016 20:25,8:25 PM,7: 6P-9P,1: Sun,7,14,Pasco,14030000,4.982,On-system,28.2435271,-82.7276375,Jacksonville,1,Pedestrian,1,Male,41,5,Fatal,5,Travel lane (other location),1,Crossing roadway,5,"In roadway improperly (standing, lying, working, playing)",2,Yes,88,Unknown,-9209198.869,3279712.486
181,2016-838596970-3,2016-838596970,838596970,83859697,7/20/2016 21:45,9:45 PM,8: 9P-12A,3: Tue,7,14,Pasco,14030000,5.511,On-system,28.2512057,-82.7276874,Jacksonville,1,Pedestrian,1,Male,21,5,Fatal,5,Travel lane (other location),1,Crossing roadway,3,Failure to yield right-of-way,88,Unknown,88,Unknown,-9209204.424,3280682.819
182,2016-838650490-1,2016-838650490,838650490,83865049,1/30/2016 20:20,8:20 PM,7: 6P-9P,6: Fri,2,72,Duval,72000000,0,Off-system,30.363199,-81.50275,Jacksonville,1,Pedestrian,1,Male,21,5,Fatal,88,Unknown,1,Crossing roadway,77,Other,88,Unknown,88,Unknown,-9072844.986,3550322.387
183,2016-838793650-2,2016-838793650,838793650,83879365,1/26/2016 7:47,7:47 AM,3: 6A-9A,2: Mon,5,73,Flagler,73010000,10.38,On-system,29.4662258,-81.2582479,Jacksonville,1,Pedestrian,1,Male,39,4,Serious (Incapacitating),5,Travel lane (other location),1,Crossing roadway,7,Entering/exiting parked/standing vehicle,88,Unknown,88,Unknown,-9045627.125,3435121.734
184,2016-838794230-3,2016-838794230,838794230,83879423,7/10/2016 9:54,9:54 AM,4: 9A-12P,7: Sat,5,73,Flagler,73010000,12.341,On-system,29.4910207,-81.2652949,Jacksonville,1,Pedestrian,2,Female,56,5,Fatal,9,Median/crossing island,7,Adjacent to roadway (shoulder median),2,Dart/dash,88,Unknown,88,Unknown,-9046411.593,3438292.362
185,2016-838833700-2,2016-838833700,838833700,83883370,2/20/2016 6:31,6:31 AM,3: 6A-9A,6: Fri,5,70,Brevard,70008000,0.892,On-system,28.1513079,-80.5998655,Jacksonville,1,Pedestrian,1,Male,24,4,Serious (Incapacitating),77,Other,1,Crossing roadway,77,Other,1,No,1,No,-8972336.305,3268064.347
186,2016-838885240-3,2016-838885240,838885240,83888524,7/15/2016 21:31,9:31 PM,8: 9P-12A,5: Thr,3,57,Okaloosa,57040000,14.602,On-system,30.5159285,-86.4661811,Jacksonville,1,Pedestrian,2,Female,48,5,Fatal,5,Travel lane (other location),1,Crossing roadway,9,"Not visible (dark clothing, no lighting, etc)",88,Unknown,88,Unknown,-9625371.767,3570042.262
187,2016-838887270-2,2016-838887270,838887270,83888727,8/30/2016 11:45,11:45 AM,4: 9A-12P,2: Mon,3,57,Okaloosa,57040000,13.212,On-system,30.5210802,-86.4887102,Jacksonville,1,Pedestrian,2,Female,66,4,Serious (Incapacitating),8,Sidewalk,5,Walking/cycling on sidewalk,1,No improper action,1,No,1,No,-9627879.696,3570707.97
188,2016-838989470-2,2016-838989470,838989470,83898947,1/4/2016 4:58,4:58 AM,2: 3A-6A,1: Sun,6,87,Miami-Dade,87000000,0,Off-system,25.953371,-80.299428,Jacksonville,3,Bicyclist,1,Male,67,5,Fatal,5,Travel lane (other location),3,Walking/cycling along roadway with traffic (in/adjacent to travel lane),1,No improper action,1,No,1,No,-8938891.738,2993307.473
189,2016-838991930-1,2016-838991930,838991930,83899193,1/17/2016 0:00,12:00 AM,1: 12A-3A,7: Sat,6,87,Miami-Dade,87080900,37.705,On-system,25.8465869,-80.2218467,Jacksonville,1,Pedestrian,2,Female,22,5,Fatal,3,Intersection (other),1,Crossing roadway,2,Dart/dash,1,No,1,No,-8930255.425,2980093.03
190,2016-839002700-2,2016-839002700,839002700,83900270,1/15/2016 23:42,11:42 PM,8: 9P-12A,5: Thr,6,87,Miami-Dade,87000000,0,Off-system,25.88045,-80.22658,Jacksonville,1,Pedestrian,2,Female,61,4,Serious (Incapacitating),77,Other,77,Other,7,Entering/exiting parked/standing vehicle,1,No,1,No,-8930782.333,2984282.266
191,2016-840046140-2,2016-840046140,840046140,84004614,9/15/2016 7:30,7:30 AM,3: 6A-9A,4: Wed,5,75,Orange,75002000,7.429,On-system,28.4510605,-81.354498,Jacksonville,3,Bicyclist,1,Male,41,4,Serious (Incapacitating),6,Bicycle lane,77,Other,1,No improper action,1,No,1,No,-9056341.636,3305962.819
192,2016-841076790-2,2016-841076790,841076790,84107679,7/23/2016 7:50,7:50 AM,3: 6A-9A,6: Fri,5,70,Brevard,70000000,0,Off-system,28.069994,-80.670824,Jacksonville,3,Bicyclist,1,Male,58,4,Serious (Incapacitating),8,Sidewalk,5,Walking/cycling on sidewalk,1,No improper action,1,No,1,No,-8980235.371,3257801.963
193,2016-841077000-2,2016-841077000,841077000,84107700,8/4/2016 18:15,6:15 PM,7: 6P-9P,4: Wed,5,70,Brevard,70000000,0,Off-system,28.071991,-80.659596,Jacksonville,2,"Other pedestrian (wheelchair, etc)",2,Female,9,4,Serious (Incapacitating),10,Driveway access,1,Crossing roadway,3,Failure to yield right-of-way,1,No,1,No,-8978985.475,3258053.905
194,2016-841681090-2,2016-841681090,841681090,84168109,7/7/2016 21:18,9:18 PM,8: 9P-12A,4: Wed,7,15,Pinellas,15000000,0,Off-system,27.927849,-82.795995,Jacksonville,3,Bicyclist,1,Male,26,4,Serious (Incapacitating),88,Unknown,88,Unknown,4,"Failure to obey traffic signs, signals, officer",88,Unknown,88,Unknown,-9216808.393,3239880.891
195,2016-841686170-2,2016-841686170,841686170,84168617,12/26/2016 23:56,11:56 PM,8: 9P-12A,1: Sun,7,15,Pinellas,15150098,3.461,On-system,27.9127286,-82.7291072,Jacksonville,1,Pedestrian,1,Male,26,5,Fatal,5,Travel lane (other location),1,Crossing roadway,5,"In roadway improperly (standing, lying, working, playing)",88,Unknown,88,Unknown,-9209362.475,3237975.961
196,2016-841691730-2,2016-841691730,841691730,84169173,1/25/2016 19:37,7:37 PM,7: 6P-9P,1: Sun,7,15,Pinellas,15061000,6.332,On-system,27.8920111,-82.7288358,Jacksonville,1,Pedestrian,2,Female,44,4,Serious (Incapacitating),5,Travel lane (other location),1,Crossing roadway,3,Failure to yield right-of-way,2,Yes,1,No,-9209332.262,3235366.318
197,2016-841692350-2,2016-841692350,841692350,84169235,1/15/2016 15:23,3:23 PM,6: 3P-6P,5: Thr,7,15,Pinellas,15000000,0,Off-system,27.909312,-82.79541,Jacksonville,3,Bicyclist,1,Male,23,4,Serious (Incapacitating),1,Intersection (marked crosswalk),1,Crossing roadway,1,No improper action,1,No,1,No,-9216743.271,3237545.561
198,2016-841693460-3,2016-841693460,841693460,84169346,7/13/2016 4:51,4:51 AM,2: 3A-6A,3: Tue,7,15,Pinellas,15000000,0,Off-system,27.932807,-82.795769,Jacksonville,3,Bicyclist,1,Male,43,4,Serious (Incapacitating),1,Intersection (marked crosswalk),5,Walking/cycling on sidewalk,1,No improper action,1,No,1,No,-9216783.234,3240505.578
199,2016-841694170-2,2016-841694170,841694170,84169417,2/22/2016 7:50,7:50 AM,3: 6A-9A,1: Sun,7,15,Pinellas,15007000,0.76,On-system,27.9277443,-82.7875792,Jacksonville,3,Bicyclist,1,Male,30,4,Serious (Incapacitating),8,Sidewalk,5,Walking/cycling on sidewalk,1,No improper action,1,No,1,No,-9215871.55,3239867.699
200,2016-841694830-3,2016-841694830,841694830,84169483,2/5/2016 22:26,10:26 PM,8: 9P-12A,5: Thr,7,15,Pinellas,15030000,3.491,On-system,27.916191,-82.7306881,Jacksonville,1,Pedestrian,2,Female,37,4,Serious (Incapacitating),5,Travel lane (other location),1,Crossing roadway,5,"In roadway improperly (standing, lying, working, playing)",88,Unknown,88,Unknown,-9209538.46,3238412.145
201,2016-841814360-2,2016-841814360,841814360,84181436,8/12/2016 17:05,5:05 PM,6: 3P-6P,5: Thr,5,79,Volusia,79000000,0,Off-system,29.251311,-81.057221,Jacksonville,3,Bicyclist,2,Female,39,4,Serious (Incapacitating),3,Intersection (other),1,Crossing roadway,1,No improper action,1,No,1,No,-9023248.905,3407672.049
202,2016-841967780-1,2016-841967780,841967780,84196778,1/16/2016 18:38,6:38 PM,7: 6P-9P,6: Fri,1,4,De Soto,4000000,0,Off-system,27.207239,-81.861793,Jacksonville,3,Bicyclist,1,Male,34,4,Serious (Incapacitating),77,Other,77,Other,9,"Not visible (dark clothing, no lighting, etc)",1,No,1,No,-9112813.469,3149388.095
203,2016-842168140-2,2016-842168140,842168140,84216814,1/3/2016 22:25,10:25 PM,8: 9P-12A,7: Sat,1,91,Okeechobee,91020000,3.748,On-system,27.2526988,-80.8298519,Jacksonville,1,Pedestrian,1,Male,75,4,Serious (Incapacitating),7,Shoulder/roadside,77,Other,1,No improper action,1,No,1,No,-8997938.278,3155079.386
204,2016-842171900-4,2016-842171900,842171900,84217190,11/7/2016 7:40,7:40 AM,3: 6A-9A,1: Sun,1,91,Okeechobee,91000000,0,Off-system,27.25506,-80.839135,Jacksonville,1,Pedestrian,1,Male,23,4,Serious (Incapacitating),77,Other,1,Crossing roadway,2,Dart/dash,1,No,1,No,-8998971.668,3155375.057
205,2016-842378630-3,2016-842378630,842378630,84237863,3/12/2016 15:37,3:37 PM,6: 3P-6P,6: Fri,1,1,Charlotte,1050000,3.442,On-system,26.9344852,-82.3185609,Jacksonville,3,Bicyclist,1,Male,37,4,Serious (Incapacitating),1,Intersection (marked crosswalk),1,Crossing roadway,1,No improper action,1,No,1,No,-9163660.653,3115289.538
206,2016-842419520-2,2016-842419520,842419520,84241952,1/31/2016 3:20,3:20 AM,2: 3A-6A,7: Sat,5,92,Osceola,92030000,7.179,On-system,28.2490403,-81.3101867,Jacksonville,1,Pedestrian,2,Female,58,5,Fatal,5,Travel lane (other location),1,Crossing roadway,3,Failure to yield right-of-way,1,No,2,Yes,-9051408.922,3280409.178
207,2016-842419890-2,2016-842419890,842419890,84241989,2/11/2016 22:09,10:09 PM,8: 9P-12A,4: Wed,5,92,Osceola,92030000,10.798,On-system,28.2459558,-81.2515304,Jacksonville,1,Pedestrian,1,Male,53,5,Fatal,5,Travel lane (other location),77,Other,5,"In roadway improperly (standing, lying, working, playing)",88,Unknown,2,Yes,-9044879.331,3280019.394
208,2016-842699350-2,2016-842699350,842699350,84269935,12/17/2016 10:03,10:03 AM,4: 9A-12P,6: Fri,5,75,Orange,75000000,0,Off-system,28.561406,-81.546344,Jacksonville,3,Bicyclist,1,Male,48,4,Serious (Incapacitating),7,Shoulder/roadside,10,None,1,No improper action,1,No,1,No,-9077697.842,3319941.082
209,2016-842707100-1,2016-842707100,842707100,84270710,10/30/2016 0:57,12:57 AM,1: 12A-3A,7: Sat,5,75,Orange,75250000,0.241,On-system,28.5737276,-81.5467352,Jacksonville,1,Pedestrian,1,Male,37,5,Fatal,5,Travel lane (other location),1,Crossing roadway,5,"In roadway improperly (standing, lying, working, playing)",2,Yes,2,Yes,-9077741.39,3321502.856
210,2016-842714390-3,2016-842714390,842714390,84271439,10/19/2016 19:50,7:50 PM,7: 6P-9P,3: Tue,5,75,Orange,75000000,0,Off-system,28.558919,-81.552011,Jacksonville,1,Pedestrian,1,Male,18,4,Serious (Incapacitating),7,Shoulder/roadside,3,Walking/cycling along roadway with traffic (in/adjacent to travel lane),77,Other,1,No,1,No,-9078328.689,3319625.874
211,2016-842762490-2,2016-842762490,842762490,84276249,7/6/2016 14:51,2:51 PM,5: 12P-3P,3: Tue,4,88,Indian River,88060001,0.923,On-system,27.6386022,-80.3998246,Jacksonville,3,Bicyclist,2,Female,10,4,Serious (Incapacitating),1,Intersection (marked crosswalk),1,Crossing roadway,2,Dart/dash,1,No,1,No,-8950067.845,3203486.377
212,2016-843147300-4,2016-843147300,843147300,84314730,8/6/2016 12:45,12:45 PM,5: 12P-3P,6: Fri,2,29,Columbia,29000000,0,Off-system,30.199504,-82.649862,Jacksonville,1,Pedestrian,1,Male,37,4,Serious (Incapacitating),77,Other,1,Crossing roadway,7,Entering/exiting parked/standing vehicle,1,No,1,No,-9200540.946,3529220.82
213,2016-843227440-2,2016-843227440,843227440,84322744,1/9/2016 21:51,9:51 PM,8: 9P-12A,6: Fri,1,17,Sarasota,17010000,7.381,On-system,27.0491125,-82.3181596,Jacksonville,3,Bicyclist,0,N/A,0,5,Fatal,5,Travel lane (other location),3,Walking/cycling along roadway with traffic (in/adjacent to travel lane),77,Other,88,Unknown,88,Unknown,-9163615.981,3129609.668
214,2016-843229670-1,2016-843229670,843229670,84322967,3/7/2016 22:24,10:24 PM,8: 9P-12A,1: Sun,1,17,Sarasota,17000000,0,Off-system,27.068506,-82.24271,Jacksonville,1,Pedestrian,0,N/A,0,4,Serious (Incapacitating),77,Other,6,"In roadway, other (working, playing, etc)",5,"In roadway improperly (standing, lying, working, playing)",2,Yes,1,No,-9155216.967,3132033.899
215,2016-843232030-2,2016-843232030,843232030,84323203,5/14/2016 13:25,1:25 PM,5: 12P-3P,6: Fri,1,17,Sarasota,17000000,0,Off-system,27.113516,-82.173687,Jacksonville,3,Bicyclist,0,N/A,0,4,Serious (Incapacitating),5,Travel lane (other location),3,Walking/cycling along roadway with traffic (in/adjacent to travel lane),1,No improper action,1,No,1,No,-9147533.36,3137661.868
216,2016-843233050-2,2016-843233050,843233050,84323305,6/14/2016 6:05,6:05 AM,3: 6A-9A,2: Mon,1,17,Sarasota,17010000,1.989,On-system,27.0434479,-82.235123,Jacksonville,3,Bicyclist,0,N/A,0,5,Fatal,7,Shoulder/roadside,3,Walking/cycling along roadway with traffic (in/adjacent to travel lane),9,"Not visible (dark clothing, no lighting, etc)",88,Unknown,88,Unknown,-9154372.386,3128901.659
217,2016-843234700-2,2016-843234700,843234700,84323470,8/8/2016 15:26,3:26 PM,6: 3P-6P,1: Sun,1,17,Sarasota,17000000,0,Off-system,27.11409,-82.196639,Jacksonville,3,Bicyclist,0,N/A,0,5,Fatal,5,Travel lane (other location),4,Walking/cycling along roadway against traffic (in/adjacent to travel lane),5,"In roadway improperly (standing, lying, working, playing)",1,No,1,No,-9150088.366,3137733.655
218,2016-843255170-1,2016-843255170,843255170,84325517,7/2/2016 13:00,1:00 PM,5: 12P-3P,6: Fri,2,72,Duval,72190000,0,On-system,30.286156,-81.437596,Jacksonville,3,Bicyclist,2,Female,40,4,Serious (Incapacitating),8,Sidewalk,5,Walking/cycling on sidewalk,12,Wrong-way riding/walking,88,Unknown,88,Unknown,-9065592.073,3540386.558
219,2016-843333570-2,2016-843333570,843333570,84333357,4/26/2016 7:43,7:43 AM,3: 6A-9A,2: Mon,3,60,Walton,60070000,1.002,On-system,30.7357819,-86.1149646,Jacksonville,3,Bicyclist,2,Female,56,4,Serious (Incapacitating),7,Shoulder/roadside,3,Walking/cycling along roadway with traffic (in/adjacent to travel lane),1,No improper action,1,No,1,No,-9586274.515,3598483.464
220,2016-843334900-2,2016-843334900,843334900,84333490,8/17/2016 16:42,4:42 PM,6: 3P-6P,3: Tue,3,60,Walton,60010000,16.948,On-system,30.7214476,-86.1165652,Jacksonville,1,Pedestrian,1,Male,65,5,Fatal,2,Intersection (unmarked crosswalk),1,Crossing roadway,3,Failure to yield right-of-way,1,No,1,No,-9586452.693,3596627.144
221,2016-843605000-2,2016-843605000,843605000,84360500,1/17/2016 18:25,6:25 PM,7: 6P-9P,7: Sat,6,87,Miami-Dade,87000000,0,Off-system,25.53886,-80.400562,Jacksonville,1,Pedestrian,1,Male,56,4,Serious (Incapacitating),7,Shoulder/roadside,77,Other,1,No improper action,1,No,1,No,-8950149.926,2942078.544
222,2016-843704250-4,2016-843704250,843704250,84370425,1/8/2016 16:25,4:25 PM,6: 3P-6P,5: Thr,6,87,Miami-Dade,87000000,0,Off-system,25.590997,-80.362138,Jacksonville,3,Bicyclist,1,Male,54,4,Serious (Incapacitating),1,Intersection (marked crosswalk),4,Walking/cycling along roadway against traffic (in/adjacent to travel lane),3,Failure to yield right-of-way,1,No,1,No,-8945872.585,2948512.295
223,2016-843794010-2,2016-843794010,843794010,84379401,1/11/2016 20:10,8:10 PM,7: 6P-9P,1: Sun,6,87,Miami-Dade,87038000,5.643,On-system,25.8677552,-80.250784,Jacksonville,1,Pedestrian,1,Male,39,4,Serious (Incapacitating),2,Intersection (unmarked crosswalk),1,Crossing roadway,5,"In roadway improperly (standing, lying, working, playing)",1,No,1,No,-8933476.711,2982711.639
224,2016-843844920-3,2016-843844920,843844920,84384492,1/12/2016 6:25,6:25 AM,3: 6A-9A,2: Mon,6,87,Miami-Dade,87080900,36.464,On-system,25.8459765,-80.2417499,Jacksonville,1,Pedestrian,1,Male,57,4,Serious (Incapacitating),4,Midblock (marked crosswalk),1,Crossing roadway,2,Dart/dash,1,No,1,No,-8932471.039,2980017.527
225,2016-844321680-2,2016-844321680,844321680,84432168,4/9/2016 20:55,8:55 PM,7: 6P-9P,6: Fri,4,89,Martin,89010000,18.924,On-system,27.1914453,-80.2536243,Jacksonville,1,Pedestrian,1,Male,46,4,Serious (Incapacitating),5,Travel lane (other location),1,Crossing roadway,2,Dart/dash,2,Yes,1,No,-8933792.896,3147411.369
226,2016-844322690-2,2016-844322690,844322690,84432269,5/26/2016 19:50,7:50 PM,7: 6P-9P,4: Wed,4,89,Martin,89000000,0,Off-system,27.190514,-80.240118,Jacksonville,1,Pedestrian,1,Male,2,4,Serious (Incapacitating),77,Other,6,"In roadway, other (working, playing, etc)",5,"In roadway improperly (standing, lying, working, playing)",1,No,1,No,-8932289.381,3147294.817
227,2016-844332250-3,2016-844332250,844332250,84433225,3/9/2016 1:42,1:42 AM,1: 12A-3A,3: Tue,5,70,Brevard,70080000,1.741,On-system,28.3829043,-80.605576,Jacksonville,1,Pedestrian,2,Female,56,5,Fatal,5,Travel lane (other location),1,Crossing roadway,88,Unknown,88,Unknown,88,Unknown,-8972971.996,3297336.271
228,2016-844336540-2,2016-844336540,844336540,84433654,12/6/2016 19:12,7:12 PM,7: 6P-9P,2: Mon,5,70,Brevard,70080000,0.964,On-system,28.3716022,-80.605582,Jacksonville,1,Pedestrian,1,Male,72,4,Serious (Incapacitating),5,Travel lane (other location),1,Crossing roadway,5,"In roadway improperly (standing, lying, working, playing)",88,Unknown,88,Unknown,-8972972.664,3295906.297
229,2016-844390690-2,2016-844390690,844390690,84439069,9/11/2016 4:56,4:56 AM,2: 3A-6A,7: Sat,7,14,Pasco,14030000,7.462,On-system,28.2773731,-82.7194243,Jacksonville,1,Pedestrian,2,Female,45,5,Fatal,5,Travel lane (other location),1,Crossing roadway,5,"In roadway improperly (standing, lying, working, playing)",88,Unknown,88,Unknown,-9208284.58,3283990.077
230,2016-844735590-2,2016-844735590,844735590,84473559,4/6/2016 7:30,7:30 AM,3: 6A-9A,3: Tue,1,3,Collier,3000000,0,Off-system,26.144982,-81.68683,Jacksonville,3,Bicyclist,1,Male,42,4,Serious (Incapacitating),8,Sidewalk,5,Walking/cycling on sidewalk,1,No improper action,1,No,1,No,-9093336.668,3017049.283
231,2016-844763760-5,2016-844763760,844763760,84476376,7/10/2016 6:00,6:00 AM,3: 6A-9A,7: Sat,5,79,Volusia,79000000,0,Off-system,29.264638,-81.11181,Jacksonville,1,Pedestrian,1,Male,21,5,Fatal,5,Travel lane (other location),6,"In roadway, other (working, playing, etc)",5,"In roadway improperly (standing, lying, working, playing)",88,Unknown,88,Unknown,-9029325.727,3409372.539
232,2016-844886890-2,2016-844886890,844886890,84488689,7/21/2016 10:15,10:15 AM,4: 9A-12P,4: Wed,2,35,Madison,35030000,2.551,On-system,30.3314805,-83.7756852,Jacksonville,1,Pedestrian,2,Female,23,5,Fatal,88,Unknown,88,Unknown,88,Unknown,1,No,1,No,-9325867.048,3546230.865
